textID,text,selected_text,sentiment,text_length
2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff","as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,23
919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",sick,negative,25
e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,interesting.,positive,24
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,fun,positive,22
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,well so much for being unhappy for about 10 minute,negative,26
1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned","just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,24
684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK","RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,25
3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",dont like go,negative,24
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,favorite,positive,30
04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc","Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,25
a6c61eac26, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,27
94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,27
0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,neutral,27
cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.","His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,28
9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,cool,positive,23
61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",freaked,negative,23
6b018d3d2d, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,Awesome.,positive,23
40649553ef, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,thanks,positive,23
99b7ec4b0b, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,25
a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",I love my,positive,25
22d1806fa0,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.","I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,24
f78761f7ec,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,25
6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,e nice,positive,22
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,i wish,positive,23
ef74bab7f3," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.","Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,21
3e67a75303,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,31
7e1757d4f0,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!","Unfortunatley,",negative,24
19526ac03e,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,22
02d140362f,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah","Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral,22
328a0e76bd,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,brutal,negative,23
80e45e833f,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,23
2bf5c7dba7, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,i <3 you. u helped me thru the hrdest time of my life!,positive,28
24ee55f264,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,sick!,negative,21
